0042.HK,2025-08-26,66,0,0,1,1,0,\N,1
0042.HK,2025-08-26,66,0,0,1,1,0,\N,1
0042.HK,2025-08-26,66,0,0,1,1,0,\N,1
0042.HK,2025-08-26,66,0,,1,1,0,\N,1
0042,2025-08-26,66,0,0,1,1,0,\N,1
0042,2025-08-26,66,0,0,1,1,0,\N,1
0001,2025-08-26,66,0,0,1,1,0,\N,1
0003,2025-08-26,66,0,1,1,0,0,\N,1
0004,2025-08-26,66,1,0,1,0,1,\N,1
0005,2025-08-26,66,0,1,1,0,0,\N,1
0005,2025-08-26,66,0,1,1,0,0,\N,1
0005,2025-08-26,66,0,1,1,0,0,\N,1
0001,2025-08-26,66,0,0,1,1,0,\N,1
0010,2025-08-26,66,0,0,1,0,1,\N,1
3001,2025-08-26,66,0,1,0,0,1,\N,1
3003,2025-08-26,66,0,1,1,1,1,\N,1
1,2025-08-26,66,0,0,1,1,0,\N,1
2800,2025-08-26,66,0,1,1,0,1,\N,1
0001,2025-08-26,66,0,0,1,1,0,\N,1
0002,2025-08-26,66,0,0,0,0,0,\N,1
0002,2025-08-26,66,0,0,0,0,0,\N,1
0002,2025-08-27,66,0,0,0,0,0,\N,1
0003,2025-08-27,66,0,1,1,0,0,\N,1
0004,2025-08-27,66,0,1,1,0,0,\N,1
0004,2025-08-27,66,0,1,1,0,0,\N,1
0004,2025-08-27,66,0,1,1,0,0,\N,1
0004,2025-08-27,66,\N,\N,\N,\N,\N,\N,\N
0004,2023-08-28,66,0,0,0,0,0,\N,1
0004,2025-08-27,66,0,0,1,0,0,\N,1
0003,2025-08-27,66,0,0,1,0,0,\N,1
2800,2025-08-27,66,0,0,1,0,0,\N,1
2800,2025-08-26,66,0,0,1,0,1,\N,1
0001,2025-08-22,66,0,1,1,1,0,\N,1
0001,2025-08-22,66,0,1,1,1,0,\N,1
